"Company","Role","Department","Location","Route","Eligibility","Salary","2-year match","Match score","Public source URL"
"Bharat Parenterals","Trainee / Jnr. Officer - Quality Assurance","Quality Assurance - IPQA; tablet and capsule manufacturing context","Vadodara, Gujarat","walk_in","B.Pharm / M.Pharm; 1-3 years; IPQA","","Yes","86","https://pharmabharat.com/bharat-parenterals-is-hiring-for-engineering-administration-purchase-regulatory-affairs-qc-qa-rd-production/"
"Lincoln Pharmaceuticals","QA - Officer / Sr. Officer / Executive","Quality Assurance; OSD production is separately included in the same walk-in","Ahmedabad, Gujarat","walk_in","B.Pharm / M.Pharm accepted; 1-10 years depending on position","","Yes","81","https://pharmawisdom.co.in/lincoln-pharmaceuticals-mega-walk-in-on-30th-aug-2026/"
"Sun Pharmaceutical Industries","Executive / Technician - Packing","OSD Packing - Blister / Primary / Secondary","Halol, Gujarat","walk_in","ITI / Diploma / B.Sc / B.Pharm; 2-7 years; OSD packing experience","","No","68","https://pharmajobspost.in/sun-pharma-walk-in-interview-2026-at-vapi-production-engineering-packing-jobs/"
"Sun Pharmaceutical Industries","Walk-in drive on 16 August 2026 for OSD Production, Non-OSD Production, Warehouse, Engineering, Quality Control (QC), and Quality Assurance (QA) departments at Eco Paradise and Resort, Mining Ground, Rangpo, Sikkim (conducted by Sun Pharma Guwahati).","QA / IPQA","Sikkim","walk_in","Experience: Freshers & Experienced (2–15 years); Salary: Not publicly stated","Experience: Freshers & Experienced (2–15 years); Salary: Not publicly stated","No","66","https://pharmabharat.com/sun-pharma-is-hiring-freshers-experienced-for-osd-production-warehouse-engineering-qc-and-qa/"
"Torrent Pharmaceuticals","QA, Production, and OSD Manufacturing roles via walk-in interviews on 2nd August 2026 and 9th August 2026 in Gujarat (Sanand and Bharuch plants)","QA / IPQA","Sanand, Gujarat","walk_in","Experience: 1–5 years / 2–6 years; Qualification: B.Pharm, M.Pharm, M.Sc, Diploma; Salary/CTC: Not publicly stated","Experience: 1–5 years / 2–6 years; Qualification: B.Pharm, M.Pharm, M.Sc, Diploma; Salary/CTC: Not publicly stated","No","66","https://www.linkedin.com/posts/torrent-pharmaceuticals-ltd_to-be-a-part-of-torrent-pharma-email-us-your-activity-6244026107180474368-bthF"
"Aneta Pharmaceuticals .","Sr. Officer / Executive - Quality Control","Quality Control - OSD Finished and In-Process","Ahmedabad, Gujarat","direct","M.Sc / B.Sc; 2-5 years; OSD facility","","No","65","https://pharmajobspost.in/aneta-pharmaceuticals-hiring-2026-multiple-openings-in-ahmedabad/"
"Torrent Pharmaceuticals","QA, Production, and OSD Manufacturing roles via walk-in interviews on 2nd August 2026 and 9th August 2026 in Gujarat (Sanand and Bharuch plants)","QA / IPQA","Sanand, Gujarat","walk_in","Experience: 1–5 years / 2–6 years; Qualification: B.Pharm, M.Pharm, M.Sc, Diploma; Salary/CTC: Not publicly stated","Experience: 1–5 years / 2–6 years; Qualification: B.Pharm, M.Pharm, M.Sc, Diploma; Salary/CTC: Not publicly stated","No","58","https://www.torrentpharma.com/careers/join-us/"
"Ajanta Pharma","Walk-in interview on 23rd August 2026 for Quality Assurance (Sr. Officer/Officer) and Manufacturing/Packing (OSD operations, granulation, compression, coating) at Dahej, Gujarat facility.","QA / IPQA","Dahej, Gujarat","walk_in","Qualification: B.Pharm/M.Pharm for QA & Sr. Officer Manufacturing; 10th/12th + ITI, Diploma, or D.Pharm for Associate/Operator. Experience: 2–8 years (Manufacturing), 3–5 years (QA). Salary/CTC: Not publicly stated.","Qualification: B.Pharm/M.Pharm for QA & Sr. Officer Manufacturing; 10th/12th + ITI, Diploma, or D.Pharm for Associate/Operator. Experience: 2–8 years (Manufacturing), 3–5 years (QA). Salary/CTC: Not publicly stated.","No","58","https://pharmajobspost.in/ajanta-pharma-walk-in-interview-2026-multiple-openings-for-dahej-gujarat/"
"Sun Pharmaceutical Industries","Walk-in drive on 16 August 2026 for OSD Production, Non-OSD Production, Warehouse, Engineering, Quality Control (QC), and Quality Assurance (QA) departments at Eco Paradise and Resort, Mining Ground, Rangpo, Sikkim (conducted by Sun Pharma Guwahati).","QA / IPQA","Sikkim","walk_in","Experience: 0-5 years (Apprentice/Technician) to 4-8 years (Officer/Sr. Officer/Executive in OSD Manufacturing, Packing & QC). Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, Diploma. Salary/CTC: Not publicly stated || Experience: Freshers & Experienced (2–15 years); Salary: Not publicly stated","Experience: 0-5 years (Apprentice/Technician) to 4-8 years (Officer/Sr. Officer/Executive in OSD Manufacturing, Packing & QC). Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, Diploma. Salary/CTC: Not publicly stated || Experience: Freshers & Experienced (2–15 years); Salary: Not publicly stated","No","58","https://careers.sunpharma.com/job/Walk-in-interview-at-Bharuch-on-090826/58463244/"
"Bharat Parenterals","Walk-in interview on August 17th and 18th, 2026 (10:00 AM to 4:00 PM) at Bharat Parenterals Limited, Vadodara, Gujarat, featuring QA (IPQA: 1-3 years experience for B.Pharm/M.Pharm), Tablet & Capsules OSD Production (Trainee Executive: 1-6 years; Beta Lac","QA / IPQA","Vadodara, Gujarat","walk_in","Experience: 0 to 12 years (specifically 1-3 years for QA/IPQA, 0-3 years for Tablet & Capsules OSD, 1-6 years for Trainee Executive Tablet & Capsules); Qualifications: B.Pharm, M.Pharm, B.Sc, M.Sc, Diploma, ITI, B.E., B.Com, MBA; Salary/CTC: Not publicly stated.","Experience: 0 to 12 years (specifically 1-3 years for QA/IPQA, 0-3 years for Tablet & Capsules OSD, 1-6 years for Trainee Executive Tablet & Capsules); Qualifications: B.Pharm, M.Pharm, B.Sc, M.Sc, Diploma, ITI, B.E., B.Com, MBA; Salary/CTC: Not publicly stated.","Yes","58","https://www.bplindia.in/lifebpl.html"
"West-Coast Pharmaceutical Works","Walk-In Interview on 18 August 2026 for Production (OSD), Quality Assurance (IPQA & QMS), and Quality Control at Gota, Ahmedabad","QA / IPQA","Ahmedabad, Gujarat","walk_in","B.Pharm, M.Sc, M.Pharm, ITI with 0–8 years experience (Freshers & Experienced eligible); Salary/CTC not publicly stated","B.Pharm, M.Sc, M.Pharm, ITI with 0–8 years experience (Freshers & Experienced eligible); Salary/CTC not publicly stated","No","56","https://pharmastuff.org/job/west-coast-pharmaceutical-works-production-qa-qc-recruitment"
"Milan Laboratories India .","IPQA & Production Officer (OSD) - Walk-in Interview on 23 August 2026 at Kamothe, Panvel (Source: https://pharmajobalert.in/milan-laboratories-india-pvt-ltd-walk-in-23-08-2026-sunday-for-multiple-positions/)","QA / IPQA","India — see source","walk_in","Not publicly stated","","No","56","https://milanlabs.com/careers/"
"Aneta Pharmaceuticals","Not verified (Walk-in held on August 9, 2026; no explicit Aug 16–29, 2026 QA/IPQA/Production/OSD vacancy evidenced)","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience: 0–5 years; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, 10th Pass; Salary/CTC: Fresher roles ₹2.2–₹3.5 LPA, Officer positions ₹3.5–₹6.5 LPA, Senior Officer ₹5.5–₹8.5 LPA, Technician ₹2.5–₹5.0 LPA","Experience: 0–5 years; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, 10th Pass; Salary/CTC: Fresher roles ₹2.2–₹3.5 LPA, Officer positions ₹3.5–₹6.5 LPA, Senior Officer ₹5.5–₹8.5 LPA, Technician ₹2.5–₹5.0 LPA","No","48","https://pharmastuff.org/job/aneta-pharmaceutical-production-qc-engineering"
"Annora Pharma .","Walk-in interview on 16 August 2026 for Formulation OSD Unit across Production, QA, QC, Packing, and Engineering departments (Source: https://www.instagram.com/reel/DZSc9QuP-Dc/)","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Not publicly stated","","No","48","https://www.instagram.com/reel/DXvK669Iaeq/?hl=en"
"Cadila Healthcare . (Zydus Lifesciences .)","Zydus Lifesciences Ltd. (Cadila Healthcare Ltd.) Walk-In Interview on August 17, 2026 for Quality Assurance (IPQA Staff), Production (Granulation/Compression), Packing, and Engineering roles at Baddi, Himachal Pradesh; and August 19, 2026 for Production a","QA / IPQA","Baddi, Himachal Pradesh","walk_in","0-5 years experience; salary not publicly stated","0-5 years experience; salary not publicly stated","No","48","https://zyduslife.com/career.html"
"Intas Pharmaceuticals","Walk-In Drive on August 23, 2026 for OSD Manufacturing, OSD Packing, QA IPQA, QC, and Engineering at Intas Pharmez, Ahmedabad, Gujarat (Source: https://pharmabharat.com/intas-pharma-is-hiring-for-manufacturing-packing-qa-qc-and-engineering/)","QA / IPQA","Ahmedabad, Gujarat","walk_in","Qualification: M.Sc., M.Pharm., B.Pharm., Diploma, ITI, B.E., B.Tech., M.E., M.Tech.; Experience: 1 to 10 years; Salary/CTC: Not publicly stated","Qualification: M.Sc., M.Pharm., B.Pharm., Diploma, ITI, B.E., B.Tech., M.E., M.Tech.; Experience: 1 to 10 years; Salary/CTC: Not publicly stated","No","48","https://www.intaspharma.com/careers/"
"Macleods Pharmaceuticals","Walk-in interview on 23rd August 2026 for Quality Control (OSD, Oncology-API) and Quality Assurance (OSD) departments (Indore Plant venue: Phoenix Luxury Inn, Pithampur), requiring 3–9 years and 9–14 years experience in GLP, Stability, QMS, Qualification,","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience: 3-9 years (Officer/Sr. Officer) and 9-14 years (Executive/Sr. Executive). Salary/CTC: Not publicly stated. || Experience: 3–14 Years (depending on position); Salary: Not publicly stated","Experience: 3-9 years (Officer/Sr. Officer) and 9-14 years (Executive/Sr. Executive). Salary/CTC: Not publicly stated. || Experience: 3–14 Years (depending on position); Salary: Not publicly stated","No","48","https://www.macleodspharma.com/careers/"
