Company Name,Job Title / Department (Aug 16-29 where public),Location / Vacancy Info,Walk-in or Direct Vacancy,Official / Public Apply or Contact Source,Public Recruitment / Careers Email,Public Phone,Eligibility / Salary,Two-Year QA Tablet Profile Match,Research Note
Aarti Drugs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.aartidrugs.com/contact-us,hraarti@aartidrugs.com,+91 22 2401 9025 (https://www.aartidrugs.com/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aarti Pharmalabs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91 22 6943 6100 | https://www.aartipharmalabs.com/,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Abbott India Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Accord Healthcare Pvt. Ltd.,"Quality Assurance (IPQA / QMS / Validation) and Manufacturing & Packing Roles (Walk-in Drive on August 16, 2026 at Sanand, Ahmedabad)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.accord-healthcare.com/ie/life-and-careers-accord,careers@accord-healthcare.com,Not publicly verified,Experience: 1-9 years for Manufacturing & Packing; 2-8 years for Quality Assurance (IPQA/QMS/Validation). Salary: Not publicly stated.,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Actiza Pharmaceutical Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.actizapharma.com/contacts/,info@actizapharma.com,+91 93276 25007 | https://www.actizapharma.com/contacts/,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Adley Formulations Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,8219432975 / 7807815240 (Source: https://pharmastuff.org/job/adley-walk-in-qc-production),"Jr. Officer - QC: 1-2 Years experience, salary up to ₹20,000; Officer - QC RM Analysis: 2-3 Years experience, salary ₹25,000 – ₹28,000; Sr. Officer - QC RM Analysis: 5-7 Years experience, salary ₹30,000 – ₹37,000; Production Officer: 3-4 years experience, salary ₹20,000 – ₹30,000; Senior Production Executive: 8-9 years experience, salary ₹40,000 – ₹50,000; OSD Granulation/Compression Officer: 5 years experience, salary ₹25,000 – ₹30,000.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aishwarya Healthcare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://aishwaryahealthcare.com/career.html,bd@aishwaryagroup.co.in,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aizant Drug Research Solutions Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.instagram.com/reel/Db0vBp6o__O/,raghuveera.vutla@aizant.com,+91 90145 58532 (https://www.instagram.com/p/DNqGQuat-xq/),Experience: 2–6 years (OSD/Production/IPQA); Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ajanta Pharma Ltd.,"Walk-in interview on 23rd August 2026 for Quality Assurance (Sr. Officer/Officer) and Manufacturing/Packing (OSD operations, granulation, compression, coating) at Dahej, Gujarat facility.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobspost.in/ajanta-pharma-walk-in-interview-2026-multiple-openings-for-dahej-gujarat/ ; https://www.instagram.com/p/DY7iBDdiZDh/?hl=en ; https://www.instagram.com/reel/DbHlyAjo5qV/,referral.dhj@ajantapharma.com; cv.ptn@ajantapharma.com,6359995909 (Source: https://www.instagram.com/p/DY7iBDdiZDh/?hl=en),"Qualification: B.Pharm/M.Pharm for QA & Sr. Officer Manufacturing; 10th/12th + ITI, Diploma, or D.Pharm for Associate/Operator. Experience: 2–8 years (Manufacturing), 3–5 years (QA). Salary/CTC: Not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Akums Drugs & Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/akums_exciting-career-opportunity-join-our-team-activity-7210224252954791936-EE02,career.progress@akums.net,8800461116 (https://www.linkedin.com/posts/akums_exciting-career-opportunity-join-our-team-activity-7210224252954791936-EE02),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
