Company Name,Public HR / Careers / Recruitment Email,Public Source URL,Public Phone Text (if available),August 16–29 Role / Status,Eligibility / Salary,Verification Note
Aarti Drugs Ltd.,hraarti@aartidrugs.com,https://www.aartidrugs.com/contact-us,+91 22 2401 9025 (https://www.aartidrugs.com/contact-us),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Accord Healthcare Pvt. Ltd.,careers@accord-healthcare.com,https://www.accord-healthcare.com/ie/life-and-careers-accord,Not publicly verified,"Quality Assurance (IPQA / QMS / Validation) and Manufacturing & Packing Roles (Walk-in Drive on August 16, 2026 at Sanand, Ahmedabad)",Experience: 1-9 years for Manufacturing & Packing; 2-8 years for Quality Assurance (IPQA/QMS/Validation). Salary: Not publicly stated.,Public source-cited HR/careers-context contact. Confirm with company before applying.
Aizant Drug Research Solutions Pvt. Ltd.,raghuveera.vutla@aizant.com,https://www.instagram.com/reel/Db0vBp6o__O/,+91 90145 58532 (https://www.instagram.com/p/DNqGQuat-xq/),Not verified,Experience: 2–6 years (OSD/Production/IPQA); Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Ajanta Pharma Limited,cv.ptn@ajantapharma.com,https://www.instagram.com/reel/DbHlyAjo5qV/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Ajanta Pharma Ltd.,referral.dhj@ajantapharma.com,https://pharmajobspost.in/ajanta-pharma-walk-in-interview-2026-multiple-openings-for-dahej-gujarat/,Not publicly verified,"Walk-in interview on 23rd August 2026 for Quality Assurance (Sr. Officer/Officer) and Manufacturing/Packing (OSD operations, granulation, compression, coating) at Dahej, Gujarat facility.","Qualification: B.Pharm/M.Pharm for QA & Sr. Officer Manufacturing; 10th/12th + ITI, Diploma, or D.Pharm for Associate/Operator. Experience: 2–8 years (Manufacturing), 3–5 years (QA). Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Akums Drugs & Pharmaceuticals Ltd.,career.progress@akums.net,https://www.linkedin.com/posts/akums_exciting-career-opportunity-join-our-team-activity-7210224252954791936-EE02,8800461116 (https://www.linkedin.com/posts/akums_exciting-career-opportunity-join-our-team-activity-7210224252954791936-EE02),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alembic Pharmaceuticals Ltd.,careers@alembic.co.in,https://alembicpharmaceuticals.com/careers,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alivus Life Sciences Ltd.,prajet.khule@alivus.com,https://pharmabharat.org/alivus-life-sciences-hiring-for-production-safety-ehs-quality-assurance-quality-control/,Not publicly verified,"Walk-in interview held on 08 August 2026 for Production (Officer: 2-5 years), Quality Assurance (Officer - QA Investigations: 1-3 years; Senior Officer - QA Vendor Qualification: 4-6 years), Quality Control (Officer/Senior Officer: 1-5 years), and Safety (EHS) at Ankleshwar, Gujarat facility.",Experience: 1–6 years (Officer – Production: 2–5 years; Officer – QA: 1–3 years; Senior Officer – QA: 4–6 years; Officer/Senior Officer – QC: 1–5 years). Qualification: B.Sc / M.Sc in Chemistry. Salary/CTC: Not publicly stated.,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alkem Laboratories Ltd.,hrbaddi@alkem.com,https://pharmawisdom.co.in/alkem-laboratories-walk-in-interviews-production-qc-departments-on-14th-aug-2026/,+91 9857417569 (Source: https://pharmawisdom.co.in/alkem-laboratories-walk-in-interviews-production-qc-departments-on-14th-aug-2026/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alniche Life Sciences Pvt. Ltd.,bpsahoo.alniche@gmail.com,https://www.facebook.com/AlnicheIndia/posts/elated-to-share-the-great-news-of-unveiling-the-new-office-in-delhithis-initiati/2146155875549414/,+91-9338808339 https://www.facebook.com/AlnicheIndia/,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alniche Lifesciences,career@alniche.com,https://in.linkedin.com/company/alniche-life-sciences-pvt-ltd,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Alteus Biogenics Pvt. Ltd.,alteushr@alteus.co.in,https://www.facebook.com/alteusbiogenicsindia/posts/were-hiring-join-team-alteus-are-you-passionate-about-building-impactful-brands-/1184553496803202/,+91 6289616672 (https://www.facebook.com/alteusbiogenicsindia/posts/were-hiring-join-team-alteus-are-you-passionate-about-building-impactful-brands-/1184553496803202/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Amneal Pharmaceuticals,priyar.sharma@amneal.com,https://www.linkedin.com/posts/chandani-daswani-3341a223_productionosd-manufacturingosd-tabletcapsules-activity-7194566670613417985-kI49,Not verified,Not verified,0–5 years (Apprentices: 0–1 yrs; Officers/Executives: 1–5 yrs); salary/CTC not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Amneal Pharmaceuticals (Matoda),career.matoda@amneal.com,https://pharmabharat.com/amneal-pharma-is-hiring-for-manufacturing-packing/,Not publicly verified,"Manufacturing Officer/Operator (2-6 years) & Manufacturing Apprentice (Freshers) walk-in interview held on August 13, 2026; Aseptic Operator, Packing Operator & Packing Supervisor (3-9 years) walk-in drive held on August 14, 2026 at SEZ Matoda facility, Ahmedabad, Gujarat.","Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Amneal Pharmaceuticals (Matoda),chandanid@amneal.com,https://pharmabharat.com/amneal-pharma-is-hiring-for-manufacturing-packing/,Not publicly verified,"Manufacturing Officer/Operator (2-6 years) & Manufacturing Apprentice (Freshers) walk-in interview held on August 13, 2026; Aseptic Operator, Packing Operator & Packing Supervisor (3-9 years) walk-in drive held on August 14, 2026 at SEZ Matoda facility, Ahmedabad, Gujarat.","Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
